id_zmienna;zmienna;id_przekroj;nazwa_przekroj;id_jednostka_terytorialna;jednostka_terytorialna;id_typ_informacji;typ_informacji;id_wymiar_2;nazwa_wymiar_2;id_pozycja_2;nazwa_pozycja_2;id_wymiar_3;nazwa_wymiar_3;id_pozycja_3;nazwa_pozycja_3;id_wymiar_4;nazwa_wymiar_4;id_pozycja_4;nazwa_pozycja_4;id_wymiar_5;nazwa_wymiar_5;id_pozycja_5;nazwa_pozycja_5;id_wymiar_6;nazwa_wymiar_6;id_pozycja_6;nazwa_pozycja_6;id_wymiar_7;nazwa_wymiar_7;id_pozycja_7;nazwa_pozycja_7;id_wymiar_8;nazwa_wymiar_8;id_pozycja_8;nazwa_pozycja_8;id_wymiar_9;nazwa_wymiar_9;id_pozycja_9;nazwa_pozycja_9;id_okres;id_daty;opis_okres;wartosc;id_braku_wartosci;oznaczenie_braku_wartosci;nazwa_braku_wartosci;id_tajnosci;oznaczenie_tajnosci;nazwa_tajnosci;id_flaga;oznaczenie_flagi;nazwa_flaga;notka
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;933174;10 - ARTYKUŁY SPOŻYWCZE;;;;;;;;;;;;;;;;;254;2011;2011 M08;111,2;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;933207;07 - RUDY METALI;;;;;;;;;;;;;;;;;254;2011;2011 M08;124,2;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;933242;08 - POZOSTAŁE PRODUKTY GÓRNICTWA I WYDOBYWANIA;;;;;;;;;;;;;;;;;254;2011;2011 M08;109;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;933397;B - PRODUKTY GÓRNICTWA I WYDOBYWANIA;;;;;;;;;;;;;;;;;254;2011;2011 M08;115,9;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;933398;05 - WĘGIEL KAMIENNY I BRUNATNY (LIGNIT);;;;;;;;;;;;;;;;;254;2011;2011 M08;116,1;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;933409;06 - ROPA NAFTOWA I GAZ ZIEMNY;;;;;;;;;;;;;;;;;254;2011;2011 M08;;38;(.);brak informacji, konieczność zachowania tajemnicy statystycznej lub że wypełnienie pozycji jest niemożliwe albo niecelowe;;;;;;;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;933577;25 - WYROBY METALOWE GOTOWE, Z WYŁĄCZENIEM MASZYN I URZĄDZEŃ;;;;;;;;;;;;;;;;;254;2011;2011 M08;108,1;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;933791;"16 - DREWNO I WYROBY Z DREWNA I KORKA, Z WYŁĄCZENIEM MEBLI; WYROBY ZE SŁOMY I MATERIAŁÓW W RODZAJU STOSOWANYCH DO WYPLATANIA";;;;;;;;;;;;;;;;;254;2011;2011 M08;108,4;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;933845;17 - PAPIER I WYROBY Z PAPIERU;;;;;;;;;;;;;;;;;254;2011;2011 M08;107,5;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;934078;15 - SKÓRY I WYROBY ZE SKÓR WYPRAWIONYCH;;;;;;;;;;;;;;;;;254;2011;2011 M08;111;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;934409;24 - METALE;;;;;;;;;;;;;;;;;254;2011;2011 M08;114;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;934510;14 - ODZIEŻ;;;;;;;;;;;;;;;;;254;2011;2011 M08;107,9;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;934664;20 - CHEMIKALIA I WYROBY CHEMICZNE;;;;;;;;;;;;;;;;;254;2011;2011 M08;113,8;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;935082;23 - WYROBY Z POZOSTAŁYCH MINERALNYCH SUROWCÓW NIEMETALICZNYCH;;;;;;;;;;;;;;;;;254;2011;2011 M08;107;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;935830;19 - KOKS, BRYKIETY I PODOBNE PALIWA STAŁE Z WĘGLA I TORFU ORAZ PRODUKTY RAFINACJI ROPY NAFTOWEJ;;;;;;;;;;;;;;;;;254;2011;2011 M08;119,4;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;935986;13 - WYROBY TEKSTYLNE;;;;;;;;;;;;;;;;;254;2011;2011 M08;107;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;936117;22 - WYROBY Z GUMY I TWORZYW SZTUCZNYCH;;;;;;;;;;;;;;;;;254;2011;2011 M08;106;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;936577;21 - PODSTAWOWE SUBSTANCJE FARMACEUTYCZNE, LEKI I POZOSTAŁE WYROBY FARMACEUTYCZNE;;;;;;;;;;;;;;;;;254;2011;2011 M08;101,3;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;936624;11 - NAPOJE;;;;;;;;;;;;;;;;;254;2011;2011 M08;100,4;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;936714;12 - WYROBY TYTONIOWE;;;;;;;;;;;;;;;;;254;2011;2011 M08;99,2;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;936840;D - ENERGIA ELEKTRYCZNA, PALIWA GAZOWE, PARA WODNA, GORĄCA WODA I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;;;;;;;;;;;;;;;;;254;2011;2011 M08;106,9;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;938285;32 - POZOSTAŁE WYROBY;;;;;;;;;;;;;;;;;254;2011;2011 M08;106,7;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;5665591;26 - KOMPUTERY, WYROBY ELEKTRONICZNE I OPTYCZNE;;;;;;;;;;;;;;;;;255;2011;2011 M09;103,4;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;5665642;27 - URZĄDZENIA ELEKTRYCZNE;;;;;;;;;;;;;;;;;255;2011;2011 M09;104,5;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;5665823;28 - MASZYNY I URZĄDZENIA, GDZIE INDZIEJ NIESKLASYFIKOWANE;;;;;;;;;;;;;;;;;255;2011;2011 M09;105,3;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;5669908;29 - POJAZDY SAMOCHODOWE, PRZYCZEPY I NACZEPY;;;;;;;;;;;;;;;;;255;2011;2011 M09;105,6;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;5669922;30 - POZOSTAŁY SPRZĘT TRANSPORTOWY;;;;;;;;;;;;;;;;;255;2011;2011 M09;103,6;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;5669930;31 - MEBLE;;;;;;;;;;;;;;;;;255;2011;2011 M09;103,2;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;7124459;GR155939 - Wyroby przemysłowe ogółem (działy 05-32);;;;;;;;;;;;;;;;;255;2011;2011 M09;112,7;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;933173;C - PRODUKTY PRZETWÓRSTWA PRZEMYSŁOWEGO;;;;;;;;;;;;;;;;;255;2011;2011 M09;108,2;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;933174;10 - ARTYKUŁY SPOŻYWCZE;;;;;;;;;;;;;;;;;255;2011;2011 M09;113,3;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;933207;07 - RUDY METALI;;;;;;;;;;;;;;;;;255;2011;2011 M09;116,1;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;933242;08 - POZOSTAŁE PRODUKTY GÓRNICTWA I WYDOBYWANIA;;;;;;;;;;;;;;;;;255;2011;2011 M09;110;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;933397;B - PRODUKTY GÓRNICTWA I WYDOBYWANIA;;;;;;;;;;;;;;;;;255;2011;2011 M09;166,7;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;933398;05 - WĘGIEL KAMIENNY I BRUNATNY (LIGNIT);;;;;;;;;;;;;;;;;255;2011;2011 M09;123,6;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;933409;06 - ROPA NAFTOWA I GAZ ZIEMNY;;;;;;;;;;;;;;;;;255;2011;2011 M09;175,6;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;933577;25 - WYROBY METALOWE GOTOWE, Z WYŁĄCZENIEM MASZYN I URZĄDZEŃ;;;;;;;;;;;;;;;;;255;2011;2011 M09;106,6;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;933791;"16 - DREWNO I WYROBY Z DREWNA I KORKA, Z WYŁĄCZENIEM MEBLI; WYROBY ZE SŁOMY I MATERIAŁÓW W RODZAJU STOSOWANYCH DO WYPLATANIA";;;;;;;;;;;;;;;;;255;2011;2011 M09;110;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;933845;17 - PAPIER I WYROBY Z PAPIERU;;;;;;;;;;;;;;;;;255;2011;2011 M09;109;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;934078;15 - SKÓRY I WYROBY ZE SKÓR WYPRAWIONYCH;;;;;;;;;;;;;;;;;255;2011;2011 M09;105,3;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;934409;24 - METALE;;;;;;;;;;;;;;;;;255;2011;2011 M09;111,7;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;934510;14 - ODZIEŻ;;;;;;;;;;;;;;;;;255;2011;2011 M09;108,9;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;934664;20 - CHEMIKALIA I WYROBY CHEMICZNE;;;;;;;;;;;;;;;;;255;2011;2011 M09;113,1;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;935082;23 - WYROBY Z POZOSTAŁYCH MINERALNYCH SUROWCÓW NIEMETALICZNYCH;;;;;;;;;;;;;;;;;255;2011;2011 M09;107,5;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;935830;19 - KOKS, BRYKIETY I PODOBNE PALIWA STAŁE Z WĘGLA I TORFU ORAZ PRODUKTY RAFINACJI ROPY NAFTOWEJ;;;;;;;;;;;;;;;;;255;2011;2011 M09;125,9;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;935986;13 - WYROBY TEKSTYLNE;;;;;;;;;;;;;;;;;255;2011;2011 M09;111,3;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;936117;22 - WYROBY Z GUMY I TWORZYW SZTUCZNYCH;;;;;;;;;;;;;;;;;255;2011;2011 M09;110,4;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;936577;21 - PODSTAWOWE SUBSTANCJE FARMACEUTYCZNE, LEKI I POZOSTAŁE WYROBY FARMACEUTYCZNE;;;;;;;;;;;;;;;;;255;2011;2011 M09;101;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;936624;11 - NAPOJE;;;;;;;;;;;;;;;;;255;2011;2011 M09;107,4;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;936714;12 - WYROBY TYTONIOWE;;;;;;;;;;;;;;;;;255;2011;2011 M09;107,1;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;936840;D - ENERGIA ELEKTRYCZNA, PALIWA GAZOWE, PARA WODNA, GORĄCA WODA I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;;;;;;;;;;;;;;;;;255;2011;2011 M09;104,9;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768413;import;664;PKWiU_B-D;938285;32 - POZOSTAŁE WYROBY;;;;;;;;;;;;;;;;;255;2011;2011 M09;105,6;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;5665591;26 - KOMPUTERY, WYROBY ELEKTRONICZNE I OPTYCZNE;;;;;;;;;;;;;;;;;255;2011;2011 M09;100,4;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;5665642;27 - URZĄDZENIA ELEKTRYCZNE;;;;;;;;;;;;;;;;;255;2011;2011 M09;107,2;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;5665823;28 - MASZYNY I URZĄDZENIA, GDZIE INDZIEJ NIESKLASYFIKOWANE;;;;;;;;;;;;;;;;;255;2011;2011 M09;110,3;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;5669908;29 - POJAZDY SAMOCHODOWE, PRZYCZEPY I NACZEPY;;;;;;;;;;;;;;;;;255;2011;2011 M09;107,9;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;5669922;30 - POZOSTAŁY SPRZĘT TRANSPORTOWY;;;;;;;;;;;;;;;;;255;2011;2011 M09;108,7;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;5669930;31 - MEBLE;;;;;;;;;;;;;;;;;255;2011;2011 M09;107,3;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;7124459;GR155939 - Wyroby przemysłowe ogółem (działy 05-32);;;;;;;;;;;;;;;;;255;2011;2011 M09;110,8;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
329;Wskaźniki cen importu i eksportu;772;"Polska; Import/Eksport; PKWiU_B-D";33617;POLSKA;5;analogiczny okres roku poprzedniego=100 [-];;;;;;;;;663;Import/Eksport;4768414;eksport;664;PKWiU_B-D;933173;C - PRODUKTY PRZETWÓRSTWA PRZEMYSŁOWEGO;;;;;;;;;;;;;;;;;255;2011;2011 M09;110,4;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
